Price,Distance_km,Room_Capacity,Wifi,Mess,Security_Rating,AC,Attached_Washroom,Vending_Machine,Study_Room,Gym,Lift,Hostel_Type
3654,4.41,2,1,1,6,0,1,1,1,1,1,Budget
7471,2.46,1,1,0,6,0,1,1,1,0,0,Standard
10392,2.15,3,1,1,7,1,1,0,1,1,0,Premium
4333,4.99,1,0,1,4,0,1,0,0,1,1,Budget
7202,3.87,2,1,1,7,1,0,1,0,0,1,Standard
10277,0.73,1,1,1,8,1,1,1,1,1,0,Premium
4853,1.98,3,1,1,5,0,0,1,1,0,0,Budget
5961,0.59,4,0,1,7,0,1,0,1,0,0,Standard
8177,0.78,1,1,1,8,1,1,1,1,1,0,Premium
4515,4.46,2,1,1,3,0,0,1,1,1,0,Budget
7117,2.43,3,1,1,7,0,1,0,1,1,1,Standard
8381,4.31,3,1,1,7,1,1,0,1,1,0,Premium
3764,1.73,3,0,1,6,0,0,1,1,1,1,Budget
5964,2.76,4,0,0,7,0,1,0,0,1,0,Standard
11037,3.33,3,1,1,6,1,1,1,1,1,1,Premium
3253,2.54,2,1,1,4,0,0,0,1,0,1,Budget
6512,3.79,1,1,0,5,0,1,0,0,0,0,Standard
10354,4.42,3,1,1,8,1,1,0,1,1,1,Premium
3625,3.04,1,1,1,5,0,0,1,1,1,1,Budget
7980,1.88,3,0,1,6,0,1,1,0,1,1,Standard
8226,4.92,2,1,1,7,1,1,0,1,1,1,Premium
4799,1.68,2,0,1,6,0,0,0,0,1,0,Budget
6922,1.81,2,0,1,5,0,1,0,0,0,1,Standard
10803,1.3,1,1,1,9,1,1,0,1,1,0,Premium
3789,0.72,3,0,1,6,0,1,0,0,1,1,Budget
5749,3.86,1,1,1,5,0,1,0,0,1,1,Standard
8593,3.91,4,1,1,8,1,1,0,1,1,1,Premium
4654,1.29,2,0,1,3,0,0,0,0,1,0,Budget
5513,0.56,4,0,1,8,1,0,0,1,0,1,Standard
9279,3.1,1,1,1,8,1,1,0,1,1,0,Premium
3252,2.57,1,1,1,4,0,0,1,1,1,1,Budget
5499,0.83,2,1,0,6,1,0,1,1,1,0,Standard
9936,4.78,2,1,1,9,1,1,0,1,1,1,Premium
4210,2.28,4,0,1,5,0,0,1,1,1,1,Budget
6171,3.74,4,0,0,5,1,0,0,1,1,0,Standard
8739,2.78,3,1,1,9,1,1,0,1,1,0,Premium
3431,3.58,4,0,1,5,0,0,1,0,1,0,Budget
7937,0.92,3,0,1,8,1,0,1,0,0,1,Standard
10616,4.09,4,1,1,9,1,1,0,1,1,1,Premium
3678,1.51,1,0,1,5,0,0,1,0,1,0,Budget
5355,1.27,4,1,0,5,0,0,1,0,1,0,Standard
10916,1.38,4,1,1,6,1,1,0,1,1,0,Premium
4506,1.59,3,1,1,4,0,1,0,0,0,1,Budget
